release,release_date,filename,url,md5_hash
DepMap Public 26Q1,2026-04-01,CRISPRGeneEffectUncorrected.csv,https://storage.googleapis.com/depmap-external-downloads/downloads-by-canonical-id/26q1-public-3b44.1/CRISPRGeneEffectUncorrected.csv?response-content-disposition=attachment%3B+filename%3D%22CRISPRGeneEffectUncorrected.csv%22&GoogleAccessId=depmap-external-downloads%40broad-achilles.iam.gserviceaccount.com&Expires=1786667890&Signature=gRwID3Khz9oDcRv1d6Onrr8YqbXSfLO2AJWxi%252BD6zqxfx%252FIcg1jY5HIJ%252FVGO0Kc%252FXR7wYhjGogox%252By3VSBnU%252BlkMjbkn%252BBHM9tjyOIHbyq9Fe3zUSRGxU5pkp0SbMYSO3AZisio1L8BAw5HwnXmwUBRAuK5VCqqjTyYR57VO8yxgO0AWOrJNAjMY0nCG8Slp7kvOma0ZENqakJLsdooDvGLbVsZghelh%252FQCBLUU0p%252Fw7QoDpSjD4Z8%252BFFPx%252BNg1MToSDdcBUS5G0KoFHwIZ2aierwWkLLFAssW%252B%252Bau1hoShgqt1O8EI52BgMPics59GSC1ADlA8LDydNURL5x3B8zw%3D%3D&userProject=broad-achilles,b47defe8ac4171b1db636359ca5ecccf
DepMap Public 26Q1,2026-04-01,CRISPRInferredLibraryEffect.csv,https://storage.googleapis.com/depmap-external-downloads/downloads-by-canonical-id/26q1-public-3b44.1/CRISPRInferredLibraryEffect.csv?response-content-disposition=attachment%3B+filename%3D%22CRISPRInferredLibraryEffect.csv%22&GoogleAccessId=depmap-external-downloads%40broad-achilles.iam.gserviceaccount.com&Expires=1786667890&Signature=XDjSuGUqu3vUVnvHfy8SXHUuV8ePrdq5Dye%252FEe29lKXSAz6wzh7LwpWLPqhPCIodbdoOtGeZDWgaSzLdgphYH7jdi%252Bb9eTo2zKPKY7w2gy8gdj526pypeWAikBmqnFMALUmG%252FixpcNWi4NTrbO3CjzixiwlXxgFXh%252FbQAJ7LjtAta%252BnuwLo3HWfMHYMjDeGTBvyCeD%252FptpZXVCQ94Kcco80C%252BXfjczb%252FaZukVOFKuoCYNtey%252FzQToYQEQo0EHoQi3HMHTRPj5J9obTtw8j4NJKWwhOg5%252BuzLmfMK%252F3YRcvaOCTnSpdXXbJgWBZD7oiydqT3lAWeD8%252B8HKsOHKp3XEg%3D%3D&userProject=broad-achilles,317703462348ff9fcceab86c2e60b1fb
DepMap Public 26Q1,2026-04-01,CRISPRInitialOffset.csv,https://storage.googleapis.com/depmap-external-downloads/downloads-by-canonical-id/26q1-public-3b44.1/CRISPRInitialOffset.csv?response-content-disposition=attachment%3B+filename%3D%22CRISPRInitialOffset.csv%22&GoogleAccessId=depmap-external-downloads%40broad-achilles.iam.gserviceaccount.com&Expires=1786667890&Signature=PD4bx%252FT7iLZ%252BPfBiYWRg54PbszOPc8650RZKQmjVmrMLB2w5dRwxQoj7%252Fp9CiGrU4GX8nV%252BPyAJxrFb37YofPLEcPh%252BHcK2zKdoU1JsJOHrlfMPUOZ1lJ6SOY7jCasSGZvHICL7dFDZBPRBl8m0rjUrdlfxOAnqeG%252BI4C9fz8vBo2fQ7zu%252Bf5cNwxtlFPmi6hMC2E1FTeR69%252Fb5zGRKLFOiMuB5PhyJMJSxMWgUhOjRpP4EN1dEP7sd3at2caGVTN2c31JZYs27X22LmRTN2Co8%252FVolu8qqvIzw3xpZEfsJucJr%252FZNIqdKfuyUROkOrjIiIQfxZg78tj7GBCR7Xnpw%3D%3D&userProject=broad-achilles,5a2ac359978914bf4f46c972f2cc8fc0
DepMap Public 26Q1,2026-04-01,CRISPRGeneDependency.csv,https://storage.googleapis.com/depmap-external-downloads/downloads-by-canonical-id/26q1-public-3b44.1/CRISPRGeneDependency.csv?response-content-disposition=attachment%3B+filename%3D%22CRISPRGeneDependency.csv%22&GoogleAccessId=depmap-external-downloads%40broad-achilles.iam.gserviceaccount.com&Expires=1786667890&Signature=Kiydi%252Fv2gAnEipsRKMcPvrH3RFpVh4FCcg8YM39JnXhTsbe9Gq2DuSokuuWqis7%252BljRcree6AqBSmzX2rPXV%252Bl7YhO%252Bgn1MZ%252FH5xFMHjG3Suc9zZR07QItREr6%252B%252FQpH7Crdw%252FhZoC2ChPY4nZyDLSgwhROPQ8mzg3cReeGgjK%252BosgTcz64pFTy7morreo5dWRvNeK8bRceB5L%252FlOB8zkm3Ym1EspcF5XLBsqmBMKGTD430GpyOpf50J%252BrUBumIwRvOd2iZrHGsh4QCnAzMtCm8STodRJLI9ntsz4%252BY%252FUn860uTS97Moou4gBn5DtyeFp5E1GK4Qzgz998V3DiCgnsg%3D%3D&userProject=broad-achilles,c77718247936dd31246cf6e0627e2b31
DepMap Public 26Q1,2026-04-01,CRISPRInferredGuideEfficacy.csv,https://storage.googleapis.com/depmap-external-downloads/downloads-by-canonical-id/26q1-public-3b44.1/CRISPRInferredGuideEfficacy.csv?response-content-disposition=attachment%3B+filename%3D%22CRISPRInferredGuideEfficacy.csv%22&GoogleAccessId=depmap-external-downloads%40broad-achilles.iam.gserviceaccount.com&Expires=1786667890&Signature=NdP6vH2frZABGn3N6GIyH4yYGT%252FZo4OxxeiJ5vvA%252BM5MfyX1eHvEWgYOXXi1GttWOx3oPcOghdhYFsEzFC8CD0wb0LZbp9gpPBEHRQ1uWbg5nE4jzb%252Fcwhz5xdETNtikrqSn0rr%252BS%252Fim7gbRPYRnUGBaXvT9wybY1gezQ24vWpiWFczLpQHdpWLpKMP%252FwGzOgiz9a2AXNp%252FzboMwuROs%252F45UznMoI3FhpYINNXyE4RiyrA0L%252BR2aXA19AyQ6fcIf3CgWc9CDBG4mgSLK0cudhDlY1Pm6AAaPhpHm8ssrMYXkEtk7pMb7NENcBczxNMyi38fObq7v5c3uls68KPUSyA%3D%3D&userProject=broad-achilles,8724b9f529d7fba460ff55dcc45124ce
DepMap Public 26Q1,2026-04-01,CRISPRInferredModelGrowthRate.csv,https://storage.googleapis.com/depmap-external-downloads/downloads-by-canonical-id/26q1-public-3b44.1/CRISPRInferredModelGrowthRate.csv?response-content-disposition=attachment%3B+filename%3D%22CRISPRInferredModelGrowthRate.csv%22&GoogleAccessId=depmap-external-downloads%40broad-achilles.iam.gserviceaccount.com&Expires=1786667890&Signature=BULZGYg4ITSRv2Y1WEvw9aD8ES6CjJK8tNOJ3WKbk6dLRGAnG7TEwn89CvuCcHjCGSIVeG2ozBaChsbKw489xRnbs0XFJ%252BoiYuWBg4UVkCyBXFfzIPh2wqzo3KY%252BUYwhfapyPWPOA25D6Mnfn1jgpFlyyD3NN3TgTU4XhEuRZhAUmSCWgw8cSv1Sxd89lVREgn7HLrhcm7%252BorEXYRwe9V%252F7XRMjg7MfeJBAi6Gs4PRgt2yr1gfATG%252FkV1Jm%252FP4U8JDfweBDmkU1RzL%252FClOcXn%252Bk9jL3Z%252Bz5up8qKRvzJfwrSDCWcMwbd2%252FM840PAI7KVZOgWF%252BeDWHwigmOoGR1Pcg%3D%3D&userProject=broad-achilles,df14f90a417abf4d9b9feeb510ed6f26
DepMap Public 26Q1,2026-04-01,CRISPRInferredModelEfficacy.csv,https://storage.googleapis.com/depmap-external-downloads/downloads-by-canonical-id/26q1-public-3b44.1/CRISPRInferredModelEfficacy.csv?response-content-disposition=attachment%3B+filename%3D%22CRISPRInferredModelEfficacy.csv%22&GoogleAccessId=depmap-external-downloads%40broad-achilles.iam.gserviceaccount.com&Expires=1786667890&Signature=WYOLEfTA6vEEYVxM%252BLyoWv%252BUF3PWg1mCa6OJbugPKy1VDvK2J3Q5WeW6hPHP29f05mlsVid9Pp6wPx1v6EKpBos2D3Y00rvwqoP4UjRJBi7B4FHomJWQlJ7umB8udzXhKf2z%252FjDETXP6oQsx6I38JABkwwQI1mRRLQr1CzrrWgXLpLVJIV7gjTUANzpFxN%252BtTRCbAXSjopZVJc652gi5LxxcOvRUmviCPrJAUsg2QtnK7wAuBZq1m9lX1lVjlHlnzZ6xBhrWGxyyqSqX6G1e%252F1F7zJGo0tZrqwIyKKfJ9ZMAGejOoTTGtLIrbU%252BEetz%252F%252FmID%252Fffiejj4Cr7yOEtDRw%3D%3D&userProject=broad-achilles,f0f9c08c7cfa9a4eb324ba901dc8ca0c
DepMap Public 26Q1,2026-04-01,CRISPRInferredSequenceOverdispersion.csv,https://storage.googleapis.com/depmap-external-downloads/downloads-by-canonical-id/26q1-public-3b44.1/CRISPRInferredSequenceOverdispersion.csv?response-content-disposition=attachment%3B+filename%3D%22CRISPRInferredSequenceOverdispersion.csv%22&GoogleAccessId=depmap-external-downloads%40broad-achilles.iam.gserviceaccount.com&Expires=1786667890&Signature=CdZHZ42mJ9ojc4w4METOfIhPptF9ut2pbY85DvcCOwp5jzRdpaet5bajLtFpTHYhcpbBvVonidVPE3ukVkN5E8N7mGURLkFAeZavJ5beKYEeLvpcvHatUa2NDzzTh6p7T46qS%252BDzCj7T4RzuPTj1o54PfGlwkg24pTBQwxvtyb8kVJ91S7VwwAcIc%252F3vCyPDjYMHWKb61TvhiMlHQXLvh3EfNPK5ShX4qeplNXiiWd%252B3Xjj8sVbZ6qnFH51cXX2OeCaHgcm6%252BgZTgxi11xzKTcrGT60DrFYKcIrrl5hXcVxaEqYE%252B8xBQL0CCnipjhGPUxyW%252Bt8YHZxvMgzliFwnfA%3D%3D&userProject=broad-achilles,d46b5613e12c7bb864cf81d22f18c6d6
DepMap Public 26Q1,2026-04-01,CRISPRInferredCommonEssentials.csv,https://storage.googleapis.com/depmap-external-downloads/downloads-by-canonical-id/26q1-public-3b44.1/CRISPRInferredCommonEssentials.csv?response-content-disposition=attachment%3B+filename%3D%22CRISPRInferredCommonEssentials.csv%22&GoogleAccessId=depmap-external-downloads%40broad-achilles.iam.gserviceaccount.com&Expires=1786667890&Signature=ZVNvTLkVBYhWohhTiPTDjomYNnkSwBTbB2Tu%252BrsP4zgXLJALN4W8a9RcZGa5HPY6edbygBjvMy9%252FfYSXulSSBU8C7AzI6MXctwRGWUiFw94GCcGElnKcyCox7DlwHwGeCL6Wse2an9TmRTXQqDgnXygNDaKXfsqmp070YbvU1dDQvP4s371%252FJYjl46Jrhx0d4LGmoh0hNVrxBXGauDLkZIwA9ghVzoVAa4BlL2TPHyYNCB%252BSFiIBrLWvSCc7aBNCUNZpd0ksCcmYsqLBr4BcYrgVb32KTmrFZ%252FtUYpbxlo9mTuBx7EJJXvZ85%252B71naRiOMAAB8eDVuRMNY%252FisbdiwQ%3D%3D&userProject=broad-achilles,f9b12f368abf7684fcd97af31e8a39a2
DepMap Public 26Q1,2026-04-01,AchillesCommonEssentialControls.csv,https://storage.googleapis.com/depmap-external-downloads/downloads-by-canonical-id/26q1-public-3b44.1/AchillesCommonEssentialControls.csv?response-content-disposition=attachment%3B+filename%3D%22AchillesCommonEssentialControls.csv%22&GoogleAccessId=depmap-external-downloads%40broad-achilles.iam.gserviceaccount.com&Expires=1786667890&Signature=ae8DWmzd81X%252BBwGqZqhvEoiIkLKbQ%252F0WzbGXRaJsPp2sfmCApOX5jGyODSOrBOx%252FmySGM6IRHNFSXp0PTKUO%252BsAttnX%252BjBQbC7i98xrZK44VOg9z4bVDSCEnScSqslJP5zmpKmVfKJAICK1VdO4gAufkcqsF2PCywd7hDeUzi6lKDLjF9uIg5Cwt8jUTPwurBJ5xVF%252BisBc6jnQlXvp0z689UZBfoZTp%252FH09zjVhDOx8507qBJ%252F5cZqcQNgnCBM%252FmICJhkMltCt6ZytM%252FjfiM%252FjkmQMbQQoCUuoXga4X5GV9d63%252FMt35a1wpeBOamdJHUGKzycm3blLoFfEvIwyZqA%3D%3D&userProject=broad-achilles,3aff5af7acc908a459ce32c36959cb92
